Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
6-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2760
7-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2615
8-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2608
9-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2605
10-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2593
11-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2637
12-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2642
13-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2595
14-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2645
15-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2609
16-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2571
17-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2597
18-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2581
19-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2576
20-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2564
21-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2625
22-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2656
23-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2843
24-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2858
25-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2762
26-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2840
27-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2841
28-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2772
29-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2648
30-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2575
31-Aug-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2290
1-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2238
2-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2183
3-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2184
4-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2237
5-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2335
6-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2374
7-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2316
8-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2199
9-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2136
10-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2332
11-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2355
12-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2282
13-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2147
14-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2230
15-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2037
16-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2054
17-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2333
18-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2372
19-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2334
20-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2332
21-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2290
22-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2230
23-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2142
24-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2127
25-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2287
26-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2495
27-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2195
28-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2214
29-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2221
30-Sep-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2268
1-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2401
2-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2364
3-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2416
4-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2390
5-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2359
6-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2279
7-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2307
8-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2351
9-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2322
10-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2299
11-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2288
12-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2311
13-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2065
14-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2230
15-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2309
16-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2281
17-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2349
18-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2356
19-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2310
20-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2241
21-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2387
22-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2440
23-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2497
24-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2481
25-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2482
26-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2431
27-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2405
28-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2396
29-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2368
30-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2316
31-Oct-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2229
1-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2028
2-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2124
3-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2218
4-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2050
5-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1702
6-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1930
7-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1819
8-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2072
9-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2125
10-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2163
11-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2229
12-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2213
13-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2119
14-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2075
15-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2041
16-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1951
17-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1693
18-Nov-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1784
